11000.000000	0.000000	0.000000	0.000000	
22000.000000	0.000000	0.000000	0.000000	
34000.000000	0.000000	0.000000	0.000000	
45000.000000	0.000000	0.000000	0.000000	
56000.000000	855.194280	1.764799	-3445.674260	
68000.000000	315.213590	1.548867	-3463.452859	
79000.000000	302.241101	1.375661	-3463.723064	
90000.000000	302.709761	1.327201	-3464.574955	
101000.000000	304.882092	1.365741	-3464.645427	
113000.000000	305.341809	1.450474	-3464.416155	
124000.000000	306.548300	1.580372	-3465.201075	
135000.000000	308.059580	1.700973	-3465.361579	
146000.000000	307.454157	1.810352	-3465.273577	
157000.000000	309.822329	1.935847	-3465.937059	
168000.000000	309.265975	2.041859	-3465.914432	
179000.000000	309.110858	2.137228	-3466.221354	
191000.000000	313.019829	2.221367	-3466.508832	
202000.000000	311.594167	2.300044	-3466.689620	
213000.000000	314.226721	2.360477	-3467.216007	
224000.000000	315.539910	2.410454	-3467.233692	
235000.000000	314.598973	2.450107	-3467.360365	
246000.000000	318.543352	2.477988	-3467.665874	
257000.000000	319.467367	2.502775	-3467.755839	
268000.000000	319.518007	2.516424	-3468.229140	
279000.000000	319.478470	2.523747	-3468.046082	
291000.000000	319.157368	2.524240	-3468.411167	
302000.000000	323.660560	2.519157	-3468.529877	
313000.000000	321.169738	2.507795	-3468.830684	
324000.000000	324.833335	2.492341	-3469.105734	
335000.000000	325.167124	2.473277	-3469.324378	
346000.000000	325.649367	2.449523	-3469.671915	
357000.000000	325.440209	2.423101	-3469.508711	
368000.000000	325.254633	2.393164	-3469.832178	
379000.000000	329.220266	2.360919	-3470.213313	
390000.000000	328.393948	2.326025	-3470.150323	
401000.000000	331.454160	2.291744	-3470.527154	
412000.000000	331.679982	2.249336	-3470.696305	
423000.000000	331.162251	2.207641	-3471.135538	
434000.000000	333.603322	2.165040	-3471.120853	
445000.000000	331.956619	2.120429	-3471.110715	
456000.000000	334.272921	2.074289	-3471.673659	
467000.000000	336.096182	2.027083	-3471.615652	
478000.000000	335.144896	1.978304	-3471.710951	
